Student_ID,First_Name,Last_Name,Subject,Attendance (%),date,performance
S1000,Omar,Williams,Mathematics,97.36,9/1/2024,Medium
S1001,Maria,Brown,Business,97.71,9/1/2024,High
S1002,Ahmed,Jones,Engineering,99.52,9/1/2024,Medium
S1003,Omar,Williams,Engineering,90.38,9/1/2024,Medium
S1004,John,Smith,CS,59.41,9/1/2024,Medium
S1006,Ahmed,Jones,Business,67.01,9/1/2024,High
S1008,Omar,Smith,CS,97.83,9/1/2024,Medium
S1010,John,Smith,Business,86.2,9/1/2024,High
S1013,John,Williams,Business,91.39,9/1/2024,Medium
S1014,Liam,Williams,CS,58.18,9/1/2024,Medium
S1015,Ahmed,Jones,CS,93.56,9/1/2024,Medium
S1016,Maria,Jones,Business,63.61,9/1/2024,Medium
S1017,Liam,Davis,CS,54.04,9/1/2024,Medium
S1018,Liam,Jones,Business,82.84,9/1/2024,Medium
S1019,John,Johnson,CS,82.69,9/2/2024,High
S1020,Emma,Davis,Business,54.75,9/2/2024,Medium
S1022,Sara,Davis,Business,99.64,9/2/2024,Medium
S1023,Liam,Williams,CS,83.92,9/2/2024,High
S1025,Emma,Davis,Mathematics,60.65,9/2/2024,High
S1026,Emma,Johnson,Business,53.94,9/2/2024,High
S1027,Sara,Johnson,Engineering,63.85,9/2/2024,Medium
S1028,Liam,Davis,Engineering,62.44,9/2/2024,High
S1029,Maria,Jones,Mathematics,61.73,9/2/2024,Medium
S1031,Ali,Johnson,Engineering,78.74,9/2/2024,Medium
S1032,Maria,Smith,Business,66.41,9/2/2024,High
S1034,Emma,Davis,CS,59.2,9/2/2024,High
S1035,Ahmed,Smith,CS,73.23,9/2/2024,Medium
S1036,Maria,Davis,Mathematics,50.68,9/3/2024,Medium
S1037,Ali,Williams,Mathematics,74.08,9/3/2024,Medium
S1038,Ali,Williams,Business,52.79,9/3/2024,High
S1039,John,Johnson,Mathematics,98.89,9/3/2024,Medium
S1040,John,Johnson,Business,89.53,9/3/2024,Medium
S1041,Omar,Smith,CS,74.51,9/3/2024,High
S1042,Sara,Davis,CS,54.33,9/3/2024,Medium
