student_id,name,age,gender,grade_level,subject_name,teacher_name,difficulty_level,hours_per_week,description,month,score,sleep_hours,study_hours,attendance_rate,internet_access,free_time_activity,parent_education,homework_completion_rate,extracurricular_activities,family_size,previous_gpa,school_transport,health_condition,tutoring,admission_year,city,country,scholarship_status,exam_attempts,teacher_experience_years,parent_income,feedback_rating,efficiency,performance_level,final_state
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,9/1/2023,53,8.2,4,71,1,reading,high school,86,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,10/1/2023,62,8.7,2.7,88,1,reading,high school,88,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,11/1/2023,83.65,6.9,3.6,69,1,reading,high school,93,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,good,High Performance
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,language- literature- and grammar,12/1/2023,80,5.2,4.1,74,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,good,High Performance
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,9/1/2023,56,6.1,2.2,81,1,reading,high school,84,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,3,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,10/1/2023,83.65,7.6,5.1,89,1,reading,high school,78,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,1,2,2372,2.1,1.782,good,High Performance
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,11/1/2023,72,6.7,3.3,68,1,reading,high school,93,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,good,High Performance
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,grammar- reading- and writing skills,12/1/2023,71,6.9,6.1,75,1,reading,high school,87,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,1,2,2372,2.1,1.782,good,High Performance
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,9/1/2023,49,6.3,2.4,88,1,reading,high school,76,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,weak,Need Help
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,10/1/2023,50,8,2.7,85,1,reading,high school,74,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,1,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,11/1/2023,60,6.2,2.7,80,1,reading,high school,83,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,12/1/2023,75,8,4.8,74,1,reading,high school,96,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,good,High Performance
1,alice johnson,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,9/1/2023,54,8.6,5.5,78,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,1,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,10/1/2023,56,7.4,5.1,78,1,reading,high school,89,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,3,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,11/1/2023,58,7.9,3.7,97,1,reading,high school,88,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,math,mr. ahmed,medium,5,basic mathematics concepts and algebra,12/1/2023,66,6.4,2.9,78,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,1,2,2372,2.1,1.782,average,Need Help
1,alice johnson,16,female,grade 10,science,ms. fatima,hard,4,physics- chemistry- and biology fundamentals,9/1/2023,83.65,6.8,5.5,84,1,reading,high school,100,0,5,2.4,bus,normal,0,2020,cairo,egypt,0,2,2,2372,2.1,1.782,good,High Performance
