student_id,name,age,gender,grade_level,subject_name,teacher_name,difficulty_level,hours_per_week,description,month,score,sleep_hours,study_hours,attendance_rate,internet_access,free_time_activity,parent_education,homework_completion_rate,extracurricular_activities,family_size,previous_gpa,school_transport,health_condition,tutoring,student_status,admission_year,city,country,scholarship_status,exam_attempts,final_exam_date,teacher_experience_years,school_branch,school_type,course_fee,payment_status,parent_income,device_used,feedback_rating,efficiency,sleep_study_ratio,attendance_category,performance_level,exam_month_num,exam_final_month,days_between_exam_and_month
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,"language, literature, and grammar",2023-09-01T00:00:00.000Z,53.0,8.2,4.0,71.0,1,reading,high school,86.0,0,5.0,2.4,bus,normal,0,graduated,2017,alexandria,egypt,0,2,2024-11-02,7,west,public,3164,overdue,4431,laptop,1.7,2.84,2.05,,average,9,11,428
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,"language, literature, and grammar",2023-10-01T00:00:00.000Z,62.0,8.7,2.7,88.0,1,reading,high school,88.0,0,5.0,2.4,bus,normal,0,graduated,2023,alexandria,egypt,0,2,2024-08-07,23,west,private,4945,pending,12585,mobile,4.5,2.376,3.222,,average,10,8,311
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,"language, literature, and grammar",2023-11-01T00:00:00.000Z,83.65,6.9,3.6,69.0,1,reading,high school,93.0,0,5.0,2.4,bus,normal,0,graduated,2016,mansoura,egypt,0,2,2024-05-03,17,north,private,6235,overdue,17462,laptop,3.8,2.484,1.917,,good,11,5,184
1,alice johnson,16,female,grade 10,arabic,mr. omar,easy,5,"language, literature, and grammar",2023-12-01T00:00:00.000Z,80.0,5.2,4.1,74.0,1,reading,high school,100.0,0,5.0,2.4,bus,normal,0,graduated,2022,cairo,egypt,0,2,2024-11-24,2,north,private,8746,pending,3695,tablet,1.3,3.034,1.268,,good,12,11,359
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,"grammar, reading, and writing skills",2023-09-01T00:00:00.000Z,56.0,6.1,2.2,81.0,1,reading,high school,84.0,0,5.0,2.4,bus,normal,0,dropped,2016,mansoura,egypt,0,3,2024-08-22,10,east,private,1639,overdue,18880,laptop,2.0,1.782,2.773,,average,9,8,356
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,"grammar, reading, and writing skills",2023-10-01T00:00:00.000Z,83.65,7.6,5.1,89.0,1,reading,high school,78.0,0,5.0,2.4,bus,normal,0,dropped,2018,cairo,egypt,0,1,2024-10-24,3,north,private,1172,overdue,15275,desktop,2.7,4.539,1.49,,good,10,10,389
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,"grammar, reading, and writing skills",2023-11-01T00:00:00.000Z,72.0,6.7,3.3,68.0,1,reading,high school,93.0,0,5.0,2.4,bus,normal,0,dropped,2018,giza,egypt,1,2,2024-12-10,11,north,public,6666,paid,16915,desktop,3.1,2.244,2.03,,good,11,12,405
1,alice johnson,16,female,grade 10,english,mr. john,easy,4,"grammar, reading, and writing skills",2023-12-01T00:00:00.000Z,71.0,6.9,6.1,75.0,1,reading,high school,87.0,0,5.0,2.4,bus,normal,0,dropped,2020,luxor,egypt,1,1,2024-08-08,11,north,private,5354,overdue,2909,mobile,2.2,4.575,1.131,,good,12,8,251
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,2023-09-01T00:00:00.000Z,49.0,6.3,2.4,88.0,1,reading,high school,76.0,0,5.0,2.4,bus,normal,0,active,2020,alexandria,egypt,1,2,2024-10-07,21,north,private,4959,paid,17806,desktop,1.1,2.112,2.625,,weak,9,10,402
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,2023-10-01T00:00:00.000Z,50.0,8.0,2.7,85.0,1,reading,high school,74.0,0,5.0,2.4,bus,normal,0,dropped,2015,mansoura,egypt,0,1,2024-10-30,21,east,public,9708,overdue,2372,desktop,1.9,2.295,2.963,,average,10,10,395
1,alice johnson,16,female,grade 10,history,ms. layla,medium,3,world and local history events,2023-11-01T00:00:00.000Z,60.0,6.2,2.7,80.0,1,reading,high school,83.0,0,5.0,2.4,bus,normal,0,graduated,2022,luxor,egypt,1,2,2024-11-23,22,north,private,9714,pending,3344,laptop,2.1,2.16,2.296,,average,11,11,388
