student_id,name,age,gender,grade_level,subject_name,teacher_name,difficulty_level,hours_per_week,description,month,score,sleep_hours,study_hours,attendance_rate,internet_access,free_time_activity,parent_education,homework_completion_rate,extracurricular_activities,family_size,previous_gpa,school_transport,health_condition,tutoring,student_status,admission_year,city,country,scholarship_status,exam_attempts,final_exam_date,teacher_experience_years,school_branch,school_type,course_fee,payment_status,parent_income,device_used,feedback_rating
1,Alice Johnson,16,Female,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-09,54.0,8.6,5.5,78,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Dropped,2021,Alexandria,Egypt,Yes,1,2024-06-17,23,East,Private,9684,Paid,3244,Desktop,2.5
1,Alice Johnson,16,Female,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-10,56.0,7.4,5.1,78,Yes,Reading,High School,89.0,No,5.0,2.4,Bus,Normal,No,Active,2017,Cairo,Egypt,No,3,2024-12-31,9,South,Public,8435,Overdue,13415,Mobile,4.8
1,Alice Johnson,16,Female,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-11,58.0,7.9,3.7,97,Yes,Reading,High School,88.0,No,5.0,2.4,Bus,Normal,No,Dropped,2017,Cairo,Egypt,No,2,2024-06-04,25,East,Public,2548,Pending,8766,Tablet,2.3
1,Alice Johnson,16,Female,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-12,66.0,6.4,2.9,78,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Dropped,2022,Cairo,Egypt,Yes,1,2024-07-25,14,South,Private,6065,Pending,13662,Mobile,4.8
1,Alice Johnson,16,Female,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-09,83.65,6.8,5.5,84,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Active,2019,Cairo,Egypt,No,2,2024-10-13,3,West,Private,7496,Paid,18210,Tablet,4.6
1,Alice Johnson,16,Female,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-10,52.0,5.2,3.6,93,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Active,2018,Mansoura,Egypt,No,2,2024-10-06,20,West,Private,7183,Paid,19690,Tablet,2.1
1,Alice Johnson,16,Female,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-11,54.0,7.8,3.8,92,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Dropped,2022,Cairo,Egypt,Yes,3,2024-11-22,16,East,Private,4957,Paid,12313,Mobile,4.2
1,Alice Johnson,16,Female,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-12,58.0,8.9,6.2,86,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Graduated,2020,Mansoura,Egypt,Yes,2,2024-09-29,2,South,Private,4407,Pending,4402,Desktop,5.0
1,Alice Johnson,16,Female,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-09,56.0,6.1,2.2,81,Yes,Reading,High School,84.0,No,5.0,2.4,Bus,Normal,No,Dropped,2016,Mansoura,Egypt,No,3,2024-08-22,10,East,Private,1639,Overdue,18880,Laptop,2.0
1,Alice Johnson,16,Female,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-10,83.65,7.6,5.1,89,Yes,Reading,High School,78.0,No,5.0,2.4,Bus,Normal,No,Dropped,2018,Cairo,Egypt,No,1,2024-10-24,3,North,Private,1172,Overdue,15275,Desktop,2.7
1,Alice Johnson,16,Female,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-11,72.0,6.7,3.3,68,Yes,Reading,High School,93.0,No,5.0,2.4,Bus,Normal,No,Dropped,2018,Giza,Egypt,Yes,2,2024-12-10,11,North,Public,6666,Paid,16915,Desktop,3.1
1,Alice Johnson,16,Female,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-12,71.0,6.9,6.1,75,Yes,Reading,High School,87.0,No,5.0,2.4,Bus,Normal,No,Dropped,2020,Luxor,Egypt,Yes,1,2024-08-08,11,North,Private,5354,Overdue,2909,Mobile,2.2
1,Alice Johnson,16,Female,Grade 10,History,Ms. Layla,Medium,3,World and local history events,2023-09,49.0,6.3,2.4,88,Yes,Reading,High School,76.0,No,5.0,2.4,Bus,Normal,No,Active,2020,Alexandria,Egypt,Yes,2,2024-10-07,21,North,Private,4959,Paid,17806,Desktop,1.1
1,Alice Johnson,16,Female,Grade 10,History,Ms. Layla,Medium,3,World and local history events,2023-10,50.0,8.0,2.7,85,Yes,Reading,High School,74.0,No,5.0,2.4,Bus,Normal,No,Dropped,2015,Mansoura,Egypt,No,1,2024-10-30,21,East,Public,9708,Overdue,2372,Desktop,1.9
1,Alice Johnson,16,Female,Grade 10,History,Ms. Layla,Medium,3,World and local history events,2023-11,60.0,6.2,2.7,80,Yes,Reading,High School,83.0,No,5.0,2.4,Bus,Normal,No,Graduated,2022,Luxor,Egypt,Yes,2,2024-11-23,22,North,Private,9714,Pending,3344,Laptop,2.1
1,Alice Johnson,16,Female,Grade 10,History,Ms. Layla,Medium,3,World and local history events,2023-12,75.0,8.0,4.8,74,Yes,Reading,High School,96.0,No,5.0,2.4,Bus,Normal,No,Active,2020,Giza,Egypt,Yes,2,2024-12-21,13,South,Private,3886,Paid,10515,Desktop,2.8
1,Alice Johnson,16,Female,Grade 10,Arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-09,53.0,8.2,4.0,71,Yes,Reading,High School,86.0,No,5.0,2.4,Bus,Normal,No,Graduated,2017,Alexandria,Egypt,No,2,2024-11-02,7,West,Public,3164,Overdue,4431,Laptop,1.7
1,Alice Johnson,16,Female,Grade 10,Arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-10,62.0,8.7,2.7,88,Yes,Reading,High School,88.0,No,5.0,2.4,Bus,Normal,No,Graduated,2023,Alexandria,Egypt,No,2,2024-08-07,23,West,Private,4945,Pending,12585,Mobile,4.5
1,Alice Johnson,16,Female,Grade 10,Arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-11,83.65,6.9,3.6,69,Yes,Reading,High School,93.0,No,5.0,2.4,Bus,Normal,No,Graduated,2016,Mansoura,Egypt,No,2,2024-05-03,17,North,Private,6235,Overdue,17462,Laptop,3.8
1,Alice Johnson,16,Female,Grade 10,Arabic,Mr. Omar,Easy,5,"Language, literature, and grammar",2023-12,80.0,5.2,4.1,74,Yes,Reading,High School,100.0,No,5.0,2.4,Bus,Normal,No,Graduated,2022,Cairo,Egypt,No,2,2024-11-24,2,North,Private,8746,Pending,3695,Tablet,1.3
2,Bob Smith,17,Male,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-09,76.0,8.0,4.2,68,Yes,Sports,None,90.0,Yes,8.0,2.9,Other,Normal,No,Active,2024,Giza,Egypt,No,2,2024-11-13,12,North,Private,3590,Pending,3907,Tablet,3.6
2,Bob Smith,17,Male,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-10,95.0,8.9,2.7,74,Yes,Sports,None,91.0,Yes,8.0,2.9,Other,Normal,No,Active,2017,Mansoura,Egypt,Yes,2,2024-07-24,25,East,Private,8754,Overdue,19164,Laptop,3.6
2,Bob Smith,17,Male,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-11,83.65,6.5,4.7,72,Yes,Sports,None,84.0,Yes,8.0,2.9,Other,Normal,No,Graduated,2019,Giza,Egypt,Yes,2,2024-09-02,10,West,Private,5934,Overdue,3019,Tablet,4.8
2,Bob Smith,17,Male,Grade 10,Math,Mr. Ahmed,Medium,5,Basic mathematics concepts and algebra,2023-12,100.0,8.4,3.7,90,Yes,Sports,None,92.0,Yes,8.0,2.9,Other,Normal,No,Graduated,2020,Cairo,Egypt,No,1,2024-09-15,18,North,Public,5076,Pending,13457,Mobile,1.0
2,Bob Smith,17,Male,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-09,66.0,7.8,6.3,76,Yes,Sports,None,85.0,Yes,8.0,2.9,Other,Normal,No,Active,2024,Cairo,Egypt,No,3,2024-07-22,22,South,Private,6185,Pending,3403,Tablet,2.0
2,Bob Smith,17,Male,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-10,75.0,8.6,2.3,-5,Yes,Sports,None,87.0,Yes,8.0,2.9,Other,Normal,No,Active,2020,Mansoura,Egypt,No,2,2024-05-25,27,North,Private,2093,Pending,19810,Laptop,4.7
2,Bob Smith,17,Male,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-11,82.0,5.1,6.4,71,Yes,Sports,None,99.0,Yes,8.0,2.9,Other,Normal,No,Active,2018,Cairo,Egypt,No,3,2024-07-07,11,West,Public,4880,Paid,10855,Mobile,4.7
2,Bob Smith,17,Male,Grade 10,Science,Ms. Fatima,Hard,4,"Physics, chemistry, and biology fundamentals",2023-12,79.0,8.7,1.9,85,Yes,Sports,None,82.0,Yes,8.0,2.9,Other,Normal,No,Dropped,2017,Luxor,Egypt,No,2,2024-06-30,16,North,Public,7559,Pending,7868,Tablet,3.9
2,Bob Smith,17,Male,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-09,75.0,7.0,3.0,72,Yes,Sports,None,67.0,Yes,8.0,2.9,Other,Normal,No,Dropped,2018,Alexandria,Egypt,Yes,2,2024-05-29,17,West,Private,3785,Paid,12839,Mobile,4.1
2,Bob Smith,17,Male,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-10,96.0,5.8,4.9,72,Yes,Sports,None,100.0,Yes,8.0,2.9,Other,Normal,No,Dropped,2015,Mansoura,Egypt,Yes,1,2024-09-04,19,North,Public,7065,Pending,2010,Laptop,1.4
2,Bob Smith,17,Male,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-11,93.0,7.2,3.0,66,Yes,Sports,None,96.0,Yes,8.0,2.9,Other,Normal,No,Graduated,2018,Giza,Egypt,Yes,1,2024-05-19,18,South,Private,7539,Paid,8330,Tablet,3.1
2,Bob Smith,17,Male,Grade 10,English,Mr. John,Easy,4,"Grammar, reading, and writing skills",2023-12,98.0,6.0,4.8,86,Yes,Sports,None,80.0,Yes,8.0,2.9,Other,Normal,No,Dropped,2015,Luxor,Egypt,Yes,3,2024-10-18,3,North,Private,2574,Pending,17061,Mobile,1.9
